"HAULJOIN","VESSEL","CRUISE","HAUL","LATITUDE","LONGITUDE","GIS_STATION","SURVEY_YEAR","START_TIME","GEAR_DEPTH","NBT","SPECIES_CODE","MALE_LE30","MALE_31TO60","MALE_61TO90","MALE_91TO120","MALE_TOTAL","IMMATURE_FEMALE","MATURE_FEMALE","TOTAL_FEMALE"
-6608,162,201001,165,58.33419,-172.31178,"K-24",2010,13-JUL-10,100,2.5,68580,0,72.39021527199011069041285892849018770444,1954.53581234373298864114719106923506802,3981.461839959456087972707241066960323744,6008.387867575179187304267291064685579469,0,102576.9350404099868483150211016705959772,102576.9350404099868483150211016705959772
-6557,162,201001,113,57.3296,-172.09026,"H-24",2010,03-JUL-10,106,3.4,68580,0,131.833510113267001652952964680680391184,5866.591200040381573556406928290277407708,13447.0180315532341686012023974293999008,19709.1097619334167471164682197617184821,65.91675505663350082647648234034019559222,131.833510113267001652952964680680391184,197.750265169900502479429447021020586777
-6208,162,201001,89,57.67093,-167.76965,"I-01",2010,24-JUN-10,66,-1.1,68580,453.415077201108082231012435876657711286,14962.6975476365667136234103839297044724,3400.613079008310616732593269074932834646,906.830154402216164462024871753315422572,19799.1250377817195907542096999473867262,39598.2500755634391815084193998947734523,75.56917953351801370516873931277628521436,39673.8192550969571952135881392075497375
-6609,162,201001,166,58.32615,-171.64788,"K-23",2010,13-JUL-10,93,1.8,68580,0,141.474218510828343099628561751090765775,1344.005075852869259446471336635362274863,4032.015227558607778339414009906086824588,5658.968740433133723985142470043630631,0,2617.273042450324347343128392395179166838,2617.273042450324347343128392395179166838
-6619,162,201001,176,62.00127,-174.47745,"V-26",2010,15-JUL-10,70,-1.5,68580,37110.4120650764974311121270386966113432,157306.9133647409307774364051695861914158,4879.33195670450244001659448101381371364,0,199296.6573865219306485651266892966164726,228572.6491267489452886646935753794987544,35254.891461822672559556520686761780776,263827.5405885716178482212142621412795305
-6583,162,201001,140,56.83529,-170.46927,"GF2221",2010,08-JUL-10,98,3.3,68580,0,70.24020745303497351505068593545715304008,70.24020745303497351505068593545715304008,280.96082981213989406020274374182861216,421.44124471820984109030411561274291824,0,0,0
-6177,162,201001,58,56.33802,-166.41946,"E-03",2010,18-JUN-10,101,2.9,68580,0,0,0,71.81373222669713858689506947675850317025,71.81373222669713858689506947675850317025,0,0,0
-6567,162,201001,124,59.01266,-175.00103,"M-28",2010,05-JUL-10,127,2.2,68580,66.22351651834926088078528794921309922183,66.22351651834926088078528794921309922183,66.22351651834926088078528794921309922183,66.22351651834926088078528794921309922183,264.894066073397043523141151796852396887,132.447033036698521761570575898426198444,0,132.447033036698521761570575898426198444
-6169,162,201001,50,56.99753,-165.2221,"G-05",2010,16-JUN-10,70,-1,68580,0,0,130.818982948230193043182495133293578273,130.818982948230193043182495133293578273,261.637965896460386086364990266587156546,0,0,0
-6736,89,201001,123,57.35585,-170.84773,"H-22",2010,07-JUL-10,82,2.7,68580,0,0,393.960239983889714644976926811340006228,29743.9981187836734556957579742561704702,45108.4474781553723268498581198984307131,0,196.980119991944857322488463405670003114,196.980119991944857322488463405670003114
-6614,162,201001,171,60.66363,-171.43985,"R-22",2010,14-JUL-10,60,-1.6,68580,0,119237.7572703958920539855299276519879419,15280.1945242456948196235564091295537669,0,134452.651818042246297456848916229706009,118062.3576916077616832452563577189453445,125310.6550941345656361436100389727080288,243373.0127857423273193888663966916533733
-6718,89,201001,105,57.66766,-169.65267,"I-20",2010,02-JUL-10,69,-1.2,68580,476.24876311512031043833212125693709594,340.177687939371650313094372326383639957,1768.923977284732581628090736097194927775,3605.883492157339493318800346659666583542,6395.340533260187025886174199736012431188,1428.746289345360931314996363770811287819,136.071075175748660125237748930553455983,1564.817364521109591440234112701364743801
-6752,89,201001,139,59.6715,-177.1449,"O-31",2010,11-JUL-10,170,2.4,68580,189.450880599643752387770492509163336854,0,63.15029353321458412925683083638777895123,0,252.601174132858336517027323345551115805,315.751467666072920646284154181938894756,0,315.751467666072920646284154181938894756
-6596,162,201001,153,58.67349,-169.78738,"L-20",2010,11-JUL-10,65,-1.1,68580,70.21937505611504697801071936148783612633,702.193750561150469780107193614878361263,5968.646879769778993130911145726466070738,4494.040003591363006592686039135221512085,11235.1000089784075164817150978380537802,1544.826251234531033516235825952732394779,70.21937505611504697801071936148783612633,1615.045626290646080494246545314220230906
-6616,162,201001,173,61.32649,-173.58673,"T-25",2010,15-JUL-10,71,-1.4,68580,2552.422111940773467251263218722296272244,107967.4553350947176647284341519531323159,2552.422111940773467251263218722296272244,0,113008.4890061777452625496790089296674536,177520.9578854807946473253568621357057345,51877.9794251962207218819249205306717334,229398.9373106770153692072817826663774679
-6586,162,201001,143,57.84236,-170.60938,"JI2221",2010,09-JUL-10,75,0.3,68580,0,0,635.734740923839317516274522227803325579,5227.152314262678832911590516095271788094,8405.826018881875420492963127234288415989,0,70.637193435982146390697169136422591731,70.637193435982146390697169136422591731
-6748,89,201001,135,58.99978,-175.72776,"M-29",2010,10-JUL-10,131,2.7,68580,0,0,0,0,0,59.52433854802920475803280426240073190781,0,59.52433854802920475803280426240073190781
-6749,89,201001,136,59.32272,-175.74969,"N-29",2010,10-JUL-10,133,2.6,68580,0,0,85.75752631547652473065686085933252208695,171.515052630953049461313721718665044174,257.272578946429574191970582577997566261,171.515052630953049461313721718665044174,85.75752631547652473065686085933252208695,257.272578946429574191970582577997566261
-6414,89,201001,55,54.99851,-165.14482,"A-05",2010,18-JUN-10,109,3.8,68580,0,0,374.151970669470097212068527045092883979,436.510632447715113414079948219275031309,873.021264895430226828159896438550062619,0,0,0
-6934,162,201001,244,62.00203,-175.83704,"V-28",2010,04-AUG-10,90,-1.2,68580,13559.385114600648739812965863759919548,125198.3225581459900309397181420499238267,6779.692557300324369906482931879959774008,0,145537.4002300469631406591669376898031487,227345.6904214708772041973943157079844217,19757.9611669895167351560359729073113414,247103.6515884603939393534302886152957631
-6876,162,201001,187,59.50719,-172.90406,"ON2524",2010,23-JUL-10,91,1.2,68580,0,4053.229646197373701039560187190619044245,2296.830132845178430589084106074684125072,1215.968893859212110311868056157185713274,7836.243982648255822009816361901863485541,22427.8707089588011457522330357880920448,3445.245199267767645883626159112026187608,25873.1159082265687916358591949001182324
-6201,162,201001,82,58.99517,-168.54852,"M-18",2010,23-JUN-10,44,1.4,68580,0,0,75.6978844049964370881279021319354869543,0,75.6978844049964370881279021319354869543,0,0,0
-6553,162,201001,109,57.01115,-172.00645,"G-24",2010,02-JUL-10,114,3.7,68580,0,0,211.736318838976339599462987081450585455,5081.67165213543215038711168995481405092,6140.353246330313848384426625362066978195,0,0,0
-6216,162,201001,97,56.00629,-168.23119,"D-18",2010,26-JUN-10,149,3.9,68580,0,0,0,141.082497287365051962457821861683050816,141.082497287365051962457821861683050816,0,0,0
-6885,162,201001,196,59.83077,-173.58089,"PO2625",2010,25-JUL-10,92,-0.3,68580,204.453576280588516893182623171528665516,3748.315565144122809708348091478025534454,1226.721457683531101359095739029171993094,817.814305122354067572730492686114662063,6201.758480511185012426539569536369520641,20036.4504754976746555318970708098092205,204.453576280588516893182623171528665516,20240.904051778263172425079693981337886
-6918,162,201001,229,60.98201,-172.15966,"S-23",2010,01-AUG-10,61,-1.4,68580,952.309872890066583848586680701142407879,43277.1931124485814215635502674185827581,952.309872890066583848586680701142407879,0,45181.8128582287145892607236288208675738,114065.5603306101974876418268662035017437,24654.244487042834892968966289262909004,138719.8048176530323806107931554664107477
-6443,89,201001,85,57.33577,-167.12205,"H-02",2010,25-JUN-10,69,0,68580,129.882907859497989756449344697112899481,2597.658157189959795128986893942257989628,2402.833795400712810494312876896588640405,3117.189788627951754154784272730709587553,9286.627911954106267586128145843572312918,5130.374860450170595379749115535959529514,129.882907859497989756449344697112899481,5260.257768309668585136198460233072428996
-6925,162,201001,236,60.6653,-174.81792,"R-27",2010,02-AUG-10,96,1,68580,0,272779.1593426414375474894479735815176293,23381.0708007978375040705241120212729397,0,296160.230143439275051559972085602790569,596773.9975822686143896095678115905855075,79537.3926348569293665256222025009374108,676311.3902171255437561351900140915229183
-6759,89,201001,146,57.99725,-172.86515,"J-25",2010,12-JUL-10,106,2.8,68580,0,0,472.444098212199499982681821082963391982,1062.999220977448874961034097436667631959,1535.443319189648374943715918519631023941,0,118.111024553049874995670455270740847995,118.111024553049874995670455270740847995
-6425,89,201001,66,57.33394,-165.87226,"H-04",2010,21-JUN-10,66,0.2,68580,0,210.78232761776979989233032550050356717,421.56465523553959978466065100100713434,421.56465523553959978466065100100713434,1264.693965706618799353981953003021403019,140.521551745179866594886883667002378113,70.26077587258993329744344183350118905661,210.78232761776979989233032550050356717
-19401,94,201901,164,60.3267,-172.0607,"Q-23",2019,18-JUL-19,57,2.1,68580,0,23376.2219556078302608526414134711450392,15236.2875246372465093057394927088713202,0,38612.5094802450767701583809061800163593,0,2435.023120375815652172150147236577608246,2435.023120375815652172150147236577608246
-19416,94,201901,156,59.67118,-172.5644,"O-24",2019,16-JUL-19,82,2.8,68580,0,15371.8034883260742635365521115922085102,162076.8957663136309445697291766035625408,9917.292573113596299055840071994973232393,187295.1540236596329621688653596764944746,0,71191.9931141368877182222805168210578468,71191.9931141368877182222805168210578468
-19444,162,201901,166,60.66273,-173.4682,"R-25",2019,19-JUL-19,62,2.9,68580,0,4471.915355817677520984931776511919666509,2271.44906962167747097647328330764173537,0,6743.364425439354991961405059819561401879,0,70.98278342567742096801479010336380423031,70.98278342567742096801479010336380423031
-19219,94,201901,141,57.67354,-172.19083,"I-24",2019,08-JUL-19,106,4.1,68580,0,792.072685042310496440558884835049949903,7920.726850423104964405588848350499499027,4248.389856136029026362997655024358822205,13033.1959993325636232491961959221855393,0,49828.5725499344421397151589368958695757,49828.5725499344421397151589368958695757
-19464,94,201901,200,61.34204,-174.99785,"T-27",2019,27-JUL-19,85,1.6,68580,0,67.11581898917030184172471844825452842715,268.463275956681207366898873793018113709,0,335.579094945851509208623592241272642136,0,536.926551913362414733797747586036227417,536.926551913362414733797747586036227417
-19406,94,201901,174,60.00487,-174.59971,"P-27",2019,20-JUL-19,106,2.7,68580,0,455.279838387356753128973152182496573782,2211.359215024304229483583882029269072656,1495.919468987029331709483214313917313856,4162.558522398690314322040248525682960294,260.159907649918144645127515532855185018,7934.87718332250341167638922375208314306,8195.037090972421556321516739284938328078
