HAULJOIN,VESSEL,CRUISE,HAUL,LATITUDE,LONGITUDE,GIS_STATION,SURVEY_YEAR,START_TIME,GEAR_DEPTH,NBT,SPECIES_CODE,MALE_LE30,MALE_31TO60,MALE_61TO90,MALE_91TO120,MALE_TOTAL,IMMATURE_FEMALE,MATURE_FEMALE,TOTAL_FEMALE
-6619,162,201001,176,62.00127,-174.47745,V-26,2010,15-Jul-10,70,-1.5,68580,37110.41207,157306.9134,4879.331957,0,199296.6574,228572.6491,35254.89146,263827.5406
-6583,162,201001,140,56.83529,-170.46927,GF2221,2010,8-Jul-10,98,3.3,68580,0,70.24020745,70.24020745,280.9608298,421.4412447,0,0,0
-6177,162,201001,58,56.33802,-166.41946,E-03,2010,18-Jun-10,101,2.9,68580,0,0,0,71.81373223,71.81373223,0,0,0
-6567,162,201001,124,59.01266,-175.00103,M-28,2010,5-Jul-10,127,2.2,68580,66.22351652,66.22351652,66.22351652,66.22351652,264.8940661,132.447033,0,132.447033
-6169,162,201001,50,56.99753,-165.2221,G-05,2010,16-Jun-10,70,-1,68580,0,0,130.8189829,130.8189829,261.6379659,0,0,0
-6736,89,201001,123,57.35585,-170.84773,H-22,2010,7-Jul-10,82,2.7,68580,0,0,393.96024,29743.99812,45108.44748,0,196.98012,196.98012
-6614,162,201001,171,60.66363,-171.43985,R-22,2010,14-Jul-10,60,-1.6,68580,0,119237.7573,15280.19452,0,134452.6518,118062.3577,125310.6551,243373.0128
-6718,89,201001,105,57.66766,-169.65267,I-20,2010,2-Jul-10,69,-1.2,68580,476.2487631,340.1776879,1768.923977,3605.883492,6395.340533,1428.746289,136.0710752,1564.817365
-6752,89,201001,139,59.6715,-177.1449,O-31,2010,11-Jul-10,170,2.4,68580,189.4508806,0,63.15029353,0,252.6011741,315.7514677,0,315.7514677
-6596,162,201001,153,58.67349,-169.78738,L-20,2010,11-Jul-10,65,-1.1,68580,70.21937506,702.1937506,5968.64688,4494.040004,11235.10001,1544.826251,70.21937506,1615.045626
-6616,162,201001,173,61.32649,-173.58673,T-25,2010,15-Jul-10,71,-1.4,68580,2552.422112,107967.4553,2552.422112,0,113008.489,177520.9579,51877.97943,229398.9373
-6586,162,201001,143,57.84236,-170.60938,JI2221,2010,9-Jul-10,75,0.3,68580,0,0,635.7347409,5227.152314,8405.826019,0,70.63719344,70.63719344
-6748,89,201001,135,58.99978,-175.72776,M-29,2010,10-Jul-10,131,2.7,68580,0,0,0,0,0,59.52433855,0,59.52433855
-6749,89,201001,136,59.32272,-175.74969,N-29,2010,10-Jul-10,133,2.6,68580,0,0,85.75752632,171.5150526,257.2725789,171.5150526,85.75752632,257.2725789
-6414,89,201001,55,54.99851,-165.14482,A-05,2010,18-Jun-10,109,3.8,68580,0,0,374.1519707,436.5106324,873.0212649,0,0,0
-6934,162,201001,244,62.00203,-175.83704,V-28,2010,4-Aug-10,90,-1.2,68580,13559.38511,125198.3226,6779.692557,0,145537.4002,227345.6904,19757.96117,247103.6516
-6876,162,201001,187,59.50719,-172.90406,ON2524,2010,23-Jul-10,91,1.2,68580,0,4053.229646,2296.830133,1215.968894,7836.243983,22427.87071,3445.245199,25873.11591
-6201,162,201001,82,58.99517,-168.54852,M-18,2010,23-Jun-10,44,1.4,68580,0,0,75.6978844,0,75.6978844,0,0,0
-6553,162,201001,109,57.01115,-172.00645,G-24,2010,2-Jul-10,114,3.7,68580,0,0,211.7363188,5081.671652,6140.353246,0,0,0
-6216,162,201001,97,56.00629,-168.23119,D-18,2010,26-Jun-10,149,3.9,68580,0,0,0,141.0824973,141.0824973,0,0,0
-6885,162,201001,196,59.83077,-173.58089,PO2625,2010,25-Jul-10,92,-0.3,68580,204.4535763,3748.315565,1226.721458,817.8143051,6201.758481,20036.45048,204.4535763,20240.90405
-6918,162,201001,229,60.98201,-172.15966,S-23,2010,1-Aug-10,61,-1.4,68580,952.3098729,43277.19311,952.3098729,0,45181.81286,114065.5603,24654.24449,138719.8048
-6443,89,201001,85,57.33577,-167.12205,H-02,2010,25-Jun-10,69,0,68580,129.8829079,2597.658157,2402.833795,3117.189789,9286.627912,5130.37486,129.8829079,5260.257768
-6925,162,201001,236,60.6653,-174.81792,R-27,2010,2-Aug-10,96,1,68580,0,272779.1593,23381.0708,0,296160.2301,596773.9976,79537.39263,676311.3902
-6759,89,201001,146,57.99725,-172.86515,J-25,2010,12-Jul-10,106,2.8,68580,0,0,472.4440982,1062.999221,1535.443319,0,118.1110246,118.1110246
-6425,89,201001,66,57.33394,-165.87226,H-04,2010,21-Jun-10,66,0.2,68580,0,210.7823276,421.5646552,421.5646552,1264.693966,140.5215517,70.26077587,210.7823276
-19401,94,201901,164,60.3267,-172.0607,Q-23,2019,18-Jul-19,57,2.1,68580,0,23376.22196,15236.28752,0,38612.50948,0,2435.02312,2435.02312
-19416,94,201901,156,59.67118,-172.5644,O-24,2019,16-Jul-19,82,2.8,68580,0,15371.80349,162076.8958,9917.292573,187295.154,0,71191.99311,71191.99311
-19444,162,201901,166,60.66273,-173.4682,R-25,2019,19-Jul-19,62,2.9,68580,0,4471.915356,2271.44907,0,6743.364425,0,70.98278343,70.98278343
-19219,94,201901,141,57.67354,-172.19083,I-24,2019,8-Jul-19,106,4.1,68580,0,792.072685,7920.72685,4248.389856,13033.196,0,49828.57255,49828.57255
-19464,94,201901,200,61.34204,-174.99785,T-27,2019,27-Jul-19,85,1.6,68580,0,67.11581899,268.463276,0,335.5790949,0,536.9265519,536.9265519
-19406,94,201901,174,60.00487,-174.59971,P-27,2019,20-Jul-19,106,2.7,68580,0,455.2798384,2211.359215,1495.919469,4162.558522,260.1599076,7934.877183,8195.037091
-18977,162,201901,36,55.6689,-164.5652,C-06,2019,11-Jun-19,94,5.2,68580,0,0,0,362.6508403,362.6508403,0,0,0
-19014,162,201901,67,55.00539,-165.74495,A-04,2019,18-Jun-19,128,4.6,68580,0,0,66.56769853,0,66.56769853,0,0,0
-19236,162,201901,130,59.33174,-171.82886,N-23,2019,8-Jul-19,77,2.8,68580,0,7389.577877,16500.99914,71.74347453,23962.32049,573.9477963,140904.184,141406.3883
-19457,94,201901,193,60.6735,-176.20214,R-29,2019,25-Jul-19,116,2.5,68580,0,135.8763117,3940.413038,611.4434025,4687.732753,0,22759.2822,22759.2822
-18978,162,201901,37,55.68713,-164.00662,C-07,2019,11-Jun-19,92,5.1,68580,0,0,0,220.6425145,220.6425145,0,0,0
-19271,162,201901,95,60.33717,-169.31331,Q-19,2019,28-Jun-19,41,3.5,68580,0,107387.7759,10873.76223,0,118261.5382,9823.881737,749.9146364,10573.79637
-19407,94,201901,175,59.65837,-174.45317,O-27,2019,20-Jul-19,113,3.3,68580,0,529.0179573,6546.597222,3504.743967,10646.48639,0,105671.337,105671.337
-19277,162,201901,117,57.66848,-170.90018,I-22,2019,5-Jul-19,84,4.8,68580,75.1549593,601.2396744,3457.128128,751.549593,4885.072354,75.1549593,4358.987639,4434.142599
-19400,162,201901,157,60.0156,-173.9367,P-26,2019,17-Jul-19,94,2.6,68580,0,190.4164544,7426.241722,888.6101205,8505.268297,0,761.6658176,761.6658176
-19439,162,201901,161,59.9942,-172.66908,P-24,2019,18-Jul-19,65,2.5,68580,0,6262.596344,97683.5904,2324.262561,106270.4493,193.6885467,193.6885467,387.3770934
-19397,162,201901,154,60.14718,-174.35659,QP2726,2019,17-Jul-19,99,2.5,68580,0,118.6571029,10382.4965,1601.870889,12103.02449,0,0,0
-19435,162,201901,180,60.00657,-177.89505,P-32,2019,23-Jul-19,139,2.7,68580,0,77.76062703,155.5212541,77.76062703,311.0425081,77.76062703,0,77.76062703
-19280,162,201901,120,57.81516,-170.00662,JI2120,2019,5-Jul-19,69,3.7,68580,0,512.306376,1408.842534,1280.76594,3201.91485,0,384.229782,384.229782
-19259,162,201901,78,57.33336,-165.86601,H-04,2019,25-Jun-19,66,3.7,68580,0,0,0,78.11768719,78.11768719,78.11768719,0,78.11768719
-19443,162,201901,165,60.29931,-173.38035,Q-25,2019,19-Jul-19,60,2.8,68580,0,147.8141848,2660.655327,295.6283697,3104.097882,0,147.8141848,147.8141848
-19394,162,201901,151,59.48393,-173.50992,ON2625,2019,16-Jul-19,101,3.1,68580,315.7522816,0,63.15045631,189.4513689,568.3541068,631.5045631,63.15045631,694.6550194
-19404,94,201901,167,60.99637,-171.47555,S-22,2019,18-Jul-19,58,2.1,68580,0,66680.61411,38429.63741,0,105110.2515,9624.720001,135923.204,145547.924
-19224,94,201901,146,57.02018,-172.65725,G-25,2019,14-Jul-19,119,4.3,68580,0,0,1634.450412,1906.858813,3609.411325,0,0,0
-19481,162,201901,191,61.65933,-175.76593,U-28,2019,27-Jul-19,93,1.5,68580,0,126.1192406,1261.192406,0,1387.311647,0,2333.205951,2333.205951
-6446,89,201001,88,56.67219,-167.66466,F-01,2010,25-Jun-10,98,1.3,68580,0,0,197.2050034,525.8800091,920.2900159,0,65.73500113,65.73500113
-19244,162,201901,138,56.67088,-171.34666,F-23,2019,9-Jul-19,117,4.4,68580,0,0,2948.864692,2359.091754,5307.956446,0,1253.267494,1253.267494
-19382,162,201901,139,56.99321,-173.23261,G-26,2019,14-Jul-19,139,4.3,68580,0,0,0,0,0,72.34458457,0,72.34458457
-6920,162,201001,231,60.6803,-172.79411,R-24,2010,1-Aug-10,42,2.5,68580,0,75.55969703,0,0,75.55969703,226.6790911,75.55969703,302.2387881
-16779,162,201701,101,60.33115,-169.99027,Q-20,2017,9-Jul-17,49,0.2,68580,6574.946151,381109.2281,9664.37868,158.4324374,397506.9854,466029.0146,871.3784056,466900.393
-16803,94,201701,125,57.00077,-168.94606,G-19,2017,4-Jul-17,78,2.8,68580,0,143.5098979,358.7747446,430.5296936,932.8143361,0,3085.462804,3085.462804
-16780,162,201701,102,59.9934,-170.63135,P-21,2017,10-Jul-17,62,-0.9,68580,0,75059.91684,22054.82375,367.5803959,97482.32098,57930.67039,11689.05659,69693.24306
-16783,162,201701,105,59.66223,-170.58385,O-21,2017,10-Jul-17,64,-0.2,68580,0,42556.82954,44636.39539,1188.323338,88381.54827,31416.29825,18567.55216,49983.85041
-16516,162,201701,21,56.98831,-164.03053,G-07,2017,19-Jun-17,67,-0.5,68580,0,0,214.0398065,0,214.0398065,0,0,0
-16678,162,201701,79,57.66545,-169.65562,I-20,2017,3-Jul-17,68,2,68580,0,0,218.3797253,145.5864836,363.9662089,0,0,0
-16686,162,201701,84,57.66687,-170.27005,I-21,2017,4-Jul-17,71,2.8,68580,0,181.0954881,633.8342084,181.0954881,996.0251846,0,0,0
-16805,94,201701,127,57.00211,-169.55124,G-20,2017,4-Jul-17,58,3.9,68580,0,0,497.7282138,497.7282138,995.4564276,0,0,0
-16806,94,201701,128,56.83534,-169.89328,GF2120,2017,4-Jul-17,70,4.5,68580,0,70.20481539,4142.084108,3299.626323,7511.915247,0,0,0
-16982,162,201701,133,60.17716,-173.02194,QP2524,2017,22-Jul-17,57,0.6,68580,210.5691564,280.7588753,140.3794376,0,631.7074693,280.7588753,0,280.7588753
-16671,94,201701,114,56.83862,-168.62078,GF1918,2017,1-Jul-17,95,2.3,68580,74.03983928,148.0796786,3331.792768,1184.637429,4960.669232,0,15252.20689,15252.20689
-16989,162,201701,140,60.66782,-172.74432,R-24,2017,24-Jul-17,44,4,68580,0,4256.369681,152.0132029,76.00660144,4484.389485,2508.217848,456.0396087,2964.257456
-16561,162,201701,47,55.3414,-166.33822,B-03,2017,26-Jun-17,129,4.4,68580,0,0,0,60.80921055,60.80921055,0,0,0
-16571,162,201701,56,57.33757,-167.12021,H-02,2017,28-Jun-17,69,0.7,68580,0,0,773.8658144,0,773.8658144,0,0,0
-17009,162,201701,146,60.34664,-175.37653,Q-28,2017,25-Jul-17,109,1.9,68580,0,563.3139018,0,281.6569509,844.9708527,492.8996641,633.7281395,1126.627804
-17020,162,201701,157,59.34262,-176.38859,N-30,2017,28-Jul-17,134,2.7,68580,70.25288809,70.25288809,0,0,140.5057762,632.2759928,0,632.2759928
-16839,94,201701,109,55.33971,-167.55911,B-01,2017,30-Jun-17,145,4.3,68580,0,0,0,71.37749679,71.37749679,0,0,0
-16979,94,201701,174,59.83518,-173.59114,PO2625,2017,21-Jul-17,93,1.3,68580,138.5950271,277.1900543,1455.247785,2078.925407,4019.255787,2217.520434,1039.462704,3256.983138
-16804,94,201701,126,56.83439,-169.30764,GF2019,2017,4-Jul-17,78,4.1,68580,0,0,150.9798402,150.9798402,301.9596803,75.48992008,150.9798402,226.4697602
-16524,162,201701,29,55.66774,-164.59336,C-06,2017,20-Jun-17,94,3.1,68580,0,0,0,268.9277349,403.3916024,0,0,0
-16569,162,201701,54,56.67877,-167.06936,F-02,2017,28-Jun-17,93,1.7,68580,0,0,68.00052933,340.0026467,408.003176,0,68.00052933,68.00052933
-16572,162,201701,57,57.65899,-167.13274,I-02,2017,28-Jun-17,66,0.4,68580,0,77.94756975,389.7378488,0,467.6854185,0,0,0
-19425,94,201901,183,59.3432,-176.38181,N-30,2019,23-Jul-19,134,3,68580,66.95497143,200.8649143,66.95497143,0,334.7748571,468.6848,0,468.6848
-16547,162,201701,38,57.3258,-165.86629,H-04,2017,24-Jun-17,65,0.2,68580,0,0,144.5527164,0,144.5527164,0,0,0
-16957,162,201701,122,58.99964,-173.72127,M-26,2017,20-Jul-17,115,3.2,68580,0,0,273.1141944,3345.648881,3687.041624,0,68.27854859,68.27854859
-17594,162,201801,35,57.32822,-164.00825,H-07,2018,10-Jun-18,60,3.7,68580,74.51063597,0,74.51063597,0,149.0212719,0,0,0
-16970,94,201701,165,58.99486,-171.7821,M-23,2017,20-Jul-17,85,0.8,68580,147.1554525,10374.4594,12140.32483,4046.774943,26635.1369,5003.285384,158412.8446,163416.13
-17834,162,201801,94,59.01374,-169.17953,M-19,2018,27-Jun-18,52,4.2,68580,209.6635469,209.6635469,139.775698,0,559.1027918,139.775698,0,139.775698
-17833,162,201801,93,59.34782,-169.25164,N-19,2018,27-Jun-18,49,4.3,68580,1968.362703,492.0906757,70.29866795,0,2530.752046,1476.272027,0,1476.272027
-17728,162,201801,83,58.32113,-167.83353,K-01,2018,24-Jun-18,59,4,68580,388.4025998,129.4675333,24145.69495,62662.2861,87649.52002,453.1363664,0,453.1363664
-17725,162,201801,80,57.3223,-167.7406,H-01,2018,24-Jun-18,71,4.9,68580,0,0,1366.353508,6759.854197,8126.207706,0,0,0
-17853,162,201801,120,57.1631,-169.32018,HG2019,2018,2-Jul-18,70,4.4,68580,0,0,0,152.3088197,152.3088197,0,1446.933787,1446.933787
-17826,162,201801,101,57.83076,-168.73618,JI1918,2018,28-Jun-18,68,4.4,68580,611.4405821,76.43007277,305.7202911,993.590946,1987.181892,382.1503638,0,382.1503638
-16836,94,201701,106,56.32944,-167.65304,E-01,2017,30-Jun-17,127,4.2,68580,0,72.02762484,720.2762484,216.0828745,1008.386748,0,72.02762484,72.02762484
-16667,94,201701,110,55.66886,-168.18569,C-18,2017,1-Jul-17,133,4.4,68580,0,0,68.19224603,0,68.19224603,0,0,0
-16832,94,201701,102,57.668,-167.76741,I-01,2017,29-Jun-17,67,0.4,68580,0,0,649.6209651,216.5403217,866.1612868,0,72.18010723,72.18010723
-17037,94,201701,203,60.34254,-176.71457,Q-30,2017,29-Jul-17,135,2.6,68580,0,68.72084144,137.4416829,824.6500973,1168.254305,0,0,0
-16552,162,201701,43,56.67616,-166.4207,F-03,2017,25-Jun-17,81,1.6,68580,0,72.50453737,217.5136121,0,290.0181495,0,0,0
-17902,162,201801,146,59.84855,-174.23486,PO2726,2018,10-Jul-18,103,3.2,68580,133.8218525,602.1983363,535.28741,334.5546313,1605.86223,468.3764838,0,468.3764838
-17903,162,201801,147,59.67489,-173.89589,O-26,2018,10-Jul-18,102,3.2,68580,263.5274568,395.2911852,0,0,658.818642,461.1730494,0,461.1730494
-17873,94,201801,149,59.99712,-172.61309,P-24,2018,10-Jul-18,64,3.5,68580,9187.659949,53429.77632,11802.60932,141.3486146,74561.3942,54913.93677,565.3944584,55479.33123
-17876,94,201801,152,59.84067,-173.56242,PO2625,2018,10-Jul-18,92,3.3,68580,1474.132632,1005.090431,7504.675217,1809.162776,11927.07311,4690.422011,603.0542585,5293.476269
-17895,162,201801,133,57.66346,-172.17793,I-24,2018,6-Jul-18,106,3.8,68580,0,229.40001,3899.80017,2446.93344,6576.13362,0,107053.338,107053.338
-17893,162,201801,131,56.99962,-172.0487,G-24,2018,6-Jul-18,116,4.1,68580,0,821.0374338,5993.573267,2709.423532,9524.034233,0,153041.3777,153041.3777
-17717,162,201801,58,56.99165,-165.23842,G-05,2018,16-Jun-18,69,3.8,68580,65.26515053,0,65.26515053,0,130.5303011,65.26515053,0,65.26515053
-17730,94,201801,108,59.33451,-170.53068,N-21,2018,28-Jun-18,66,3.3,68580,0,680830.7994,166406.359,568.424796,847805.5832,163493.1819,206835.5726,370328.7546
-17882,162,201801,137,59.3331,-171.82932,N-23,2018,7-Jul-18,77,3.4,68580,74.9679868,13269.33366,17917.34884,1124.519802,32386.1703,2174.071617,49253.96732,51428.03894
-17810,94,201801,119,57.83141,-169.38578,JI2019,2018,30-Jun-18,64,4,68580,0,561.2436059,5933.146691,11385.22743,17879.61773,0,0,0
-17828,162,201801,103,57.50492,-168.74677,IH1918,2018,29-Jun-18,69,4.4,68580,0,0,151.8088719,0,151.8088719,0,0,0
-17047,94,201701,197,59.0015,-176.31143,M-30,2017,26-Jul-17,133,3.1,68580,0,0,62.88888135,0,62.88888135,188.6666441,0,188.6666441
-17875,94,201801,151,60.00676,-173.26898,P-25,2018,10-Jul-18,72,3.5,68580,534.9748534,1910.624476,1910.624476,0,4356.223806,2598.449288,152.8499581,2751.299246
