,arrowtooth flounder,Greenland turbot,Pacific halibut,flathead sole,Bering flounder,rex sole,yellowfin sole,longhead dab,starry flounder,Alaska plaice,sturgeon poacher,butterfly sculpin,Pacific cod,walleye pollock,wattled eelpout,shortfin eelpout,Tanner crab,snow crab,red king crab,blue king crab,skates,rock sole,year,julian,depth,bottom.temp,lat,long,station
1.98201E+11,NA,0.2446,0.5551,1.7219,0,0,39.6507,0,0,13.7941,0.0471,1.1291,45.315,95.3158,0.7433,0,0,68.9699,0,0,0,0.0942,1982,187,71,0.4,59.02167,-170.48783,M-21
1.98201E+11,NA,0.1128,0,0.8468,0,0,71.2094,0,0,11.5828,0,3.3873,9.3246,43.8001,0.367,0,0,51.2805,0,1.8819,0.7057,0.1411,1982,187,73,0.9,58.68867,-170.43967,L-21
1.98201E+11,NA,0.0607,0.3849,1.5192,0,0,17.9667,0,0,14.9183,0,11.8799,14.0069,220.1694,1.9749,0,0,37.473,0,0,0.3039,0.1215,1982,187,73,0.8,58.35783,-170.38483,K-21
1.98201E+11,NA,0.0438,0.4394,0.4285,0,0,11.1188,0,0,8.7676,0.0438,0,4.2739,111.7908,0,0,0.0438,10.2177,0,8.8993,9.8333,1.7139,1982,187,73,1.8,58.0245,-170.32933,J-21
1.98201E+11,NA,0.3527,3.0126,1.3157,0,0,12.6794,0,0,19.8962,0,0,41.5465,296.4877,0,0,0,41.2796,0,2.574,19.0191,1.0963,1982,188,77,3.6,57.8525,-170.58583,JI2221
1.98201E+11,NA,0.1517,1.9717,1.9053,0,0,11.1665,0,0,9.536,0,0.3791,7.2707,64.0986,0,0,0.0949,13.3658,0.8058,5.4507,14.5505,1.6305,1982,188,71,3.2,57.68367,-170.29783,I-21
1.98201E+11,NA,0.0441,1.7708,1.4095,0,0.2554,4.7134,0,0,6.8278,0.0264,0,1.8854,0.7049,0,0,0,69.1598,0,1.7621,5.2949,9.1801,1982,188,73,3.7,57.5145,-170.55167,IH2221
1.98201E+11,NA,0,30.6421,0,0,0,1.0013,0,0,0.1114,0,0,2.3364,0,0,0,0,1.3908,0,4.3393,0,40.7785,1982,188,57,5,57.357,-170.28,H-21
1.98201E+11,NA,0,6.5305,0,0,0,15.6328,0,0,1.5029,0.1164,0,10.8276,1.5029,0,0,9.7375,0.5822,1.323,6.7209,1.5029,15.6328,1982,189,66,4.7,57.00233,-170.1805,G-21
1.98201E+11,NA,0,0.6275,8.0396,0,0.0687,3.1374,0,0,0.8823,0,0,1.7649,10.4417,0,0,15.687,0,0,0,2.1569,0.4902,1982,189,97,3.7,56.8525,-170.44867,GF2221
1.98201E+11,NA,0,0,17.9247,0,0.4053,0.3068,0,0,0,0,0,0,218.109,0,0,12.9286,2.4541,0,0,0,0.5041,1982,189,95,4,56.67217,-170.13367,F-21
1.98201E+11,NA,0.0772,0.3184,9.4541,0,1.5917,0,0,0,0,0,0,8.1999,55.9528,0,0,1.1576,0.3377,0,0,2.6527,0,1982,189,110,4,56.345,-170.067,E-21
1.98201E+11,NA,0,16.0291,3.1448,0,0.5916,0,0,0,0,0,0,60.4788,437.5171,0,0,33.8622,0.0987,0,0,0,0,1982,190,119,3.8,56.662,-171.33117,F-23
1.98201E+11,NA,0.9189,0.7425,1.4665,0,0,0.1113,0,0,0,0,0,47.6861,482.6886,0,0,15.3602,9.0025,0,0,0.2969,0.3712,1982,190,110,3.7,56.9805,-171.40833,G-23
1.98201E+11,NA,0.2483,0,2.4927,0,0,0,0,0,0,0,0,16.635,316.2083,0,0,1.0279,91.1406,0,0.4283,0.4969,0,1982,190,101,3.4,57.31417,-171.45967,H-23
1.98201E+11,NA,2.9994,3.2851,1.8759,0,0,0.8951,0,0,0,0,0,9.7504,1049.6517,0,0,14.4732,36.2783,0,0.5714,7.4938,0.3714,1982,190,99,3.2,57.6735,-171.5105,I-23
